family,split,prompt_group_id
relation-currency_of,train,pg_advanced-relations_currency_of_england_e7ba626416
relation-capital_of,train,pg_advanced-relations_capital_of_switzerland_e2bff44c0d
relation-country_language,train,pg_advanced-relations_language_of_switzerland_bb1d567046
relation-continent_of,calibration,pg_advanced-relations_continent_of_switzerland_11730a9106
relation-currency_of,train,pg_advanced-relations_currency_of_switzerland_64a5623d83
relation-capital_of,train,pg_advanced-relations_capital_of_australia_b5a7492650
relation-country_language,train,pg_advanced-relations_language_of_australia_1772bfc9b4
relation-currency_of,train,pg_advanced-relations_currency_of_australia_80a7f6c5db
relation-capital_of,train,pg_advanced-relations_capital_of_ireland_e1f23353e4
relation-country_language,train,pg_advanced-relations_language_of_ireland_19c898868e
relation-continent_of,calibration,pg_advanced-relations_continent_of_ireland_ee6ec3531d
relation-currency_of,train,pg_advanced-relations_currency_of_ireland_e58176e68a
relation-capital_of,train,pg_advanced-relations_capital_of_denmark_10ede22792
relation-country_language,train,pg_advanced-relations_language_of_denmark_29794b24a4
relation-continent_of,calibration,pg_advanced-relations_continent_of_denmark_8dea01030b
relation-capital_of,train,pg_advanced-relations_capital_of_sweden_c385993900
relation-country_language,train,pg_advanced-relations_language_of_sweden_009fe792f0
relation-continent_of,calibration,pg_advanced-relations_continent_of_sweden_24a7d39ebb
relation-capital_of,train,pg_advanced-relations_capital_of_hungary_dad3be934d
relation-country_language,train,pg_advanced-relations_language_of_hungary_8df0c69ff2
relation-continent_of,calibration,pg_advanced-relations_continent_of_hungary_46144a53f3
relation-capital_of,train,pg_advanced-relations_capital_of_finland_9d3c341dd2
relation-country_language,train,pg_advanced-relations_language_of_finland_20d9c0aaf6
relation-continent_of,calibration,pg_advanced-relations_continent_of_finland_7e5f9ffb79
relation-currency_of,train,pg_advanced-relations_currency_of_finland_1630366350
relation-capital_of,train,pg_advanced-relations_capital_of_indonesia_4a1aedb908
relation-country_language,train,pg_advanced-relations_language_of_indonesia_287831676d
relation-continent_of,calibration,pg_advanced-relations_continent_of_indonesia_2d7018be43
relation-capital_of,train,pg_advanced-relations_capital_of_india_1e4873d149
relation-country_language,train,pg_advanced-relations_language_of_india_9f62e1898d
relation-continent_of,calibration,pg_advanced-relations_continent_of_india_74399c392b
relation-country_language,train,pg_advanced-relations_language_of_brazil_f5017ffcf9
relation-currency_of,train,pg_advanced-relations_currency_of_brazil_f313f37597
relation-country_language,train,pg_advanced-relations_language_of_mexico_51e310b8ca
relation-country_language,train,pg_advanced-relations_language_of_argentina_fcc9d648d0
relation-country_language,train,pg_advanced-relations_language_of_vietnam_1a4ac0633d
relation-continent_of,calibration,pg_advanced-relations_continent_of_vietnam_66fe19451c
relation-capital_of,train,pg_advanced-relations_capital_of_korea_852dfaba50
relation-country_language,train,pg_advanced-relations_language_of_korea_9411a04d24
relation-continent_of,calibration,pg_advanced-relations_continent_of_korea_dade966579
relation-currency_of,train,pg_advanced-relations_currency_of_korea_e44292ab62
relation-continent_of,calibration,pg_advanced-relations_continent_of_kenya_0d7540ead8
relation-country_language,train,pg_advanced-relations_language_of_nigeria_35ea301280
relation-continent_of,calibration,pg_advanced-relations_continent_of_nigeria_3aef2e3c38
relation-country_language,train,pg_advanced-relations_language_of_morocco_1dc16f11c6
relation-continent_of,calibration,pg_advanced-relations_continent_of_morocco_6bd56524e0
relation-capital_of,train,pg_advanced-relations_capital_of_iran_d414fe437f
relation-country_language,train,pg_advanced-relations_language_of_iran_9cf0397b61
relation-continent_of,calibration,pg_advanced-relations_continent_of_iran_10fe7f9f51
relation-capital_of,train,pg_advanced-relations_capital_of_iraq_0b7f316b45
relation-country_language,train,pg_advanced-relations_language_of_iraq_720c1888b4
relation-continent_of,calibration,pg_advanced-relations_continent_of_iraq_922f36a6b6
relation-capital_of,train,pg_advanced-relations_capital_of_netherlands_5464097ac7
relation-country_language,train,pg_advanced-relations_language_of_netherlands_fcf260e1da
relation-continent_of,calibration,pg_advanced-relations_continent_of_netherlands_4de50e4fed
relation-currency_of,train,pg_advanced-relations_currency_of_netherlands_b634706f9c
relation-antonym,train,pg_advanced-relations_opposite_of_hot_aa23adfa1f
relation-comparative_of,train,pg_advanced-relations_comparative_of_hot_dbcdda84dc
relation-antonym,train,pg_advanced-relations_opposite_of_big_1dce8df6ad
relation-comparative_of,train,pg_advanced-relations_comparative_of_big_8eb8c74b67
relation-antonym,train,pg_advanced-relations_opposite_of_fast_76901e9b65
relation-comparative_of,train,pg_advanced-relations_comparative_of_fast_ea45a45d69
relation-antonym,train,pg_advanced-relations_opposite_of_tall_966b957bff
relation-comparative_of,train,pg_advanced-relations_comparative_of_tall_4590d8d5bf
relation-antonym,train,pg_advanced-relations_opposite_of_old_fbf87a930e
relation-comparative_of,train,pg_advanced-relations_comparative_of_old_d21e39b965
relation-antonym,train,pg_advanced-relations_opposite_of_strong_34839b10eb
relation-comparative_of,train,pg_advanced-relations_comparative_of_strong_41eadfa3fc
relation-antonym,train,pg_advanced-relations_opposite_of_happy_2440e956fd
relation-comparative_of,train,pg_advanced-relations_comparative_of_happy_6010369d9e
relation-antonym,train,pg_advanced-relations_opposite_of_hard_67e7320ac7
relation-comparative_of,train,pg_advanced-relations_comparative_of_hard_d89cf0b8ec
relation-antonym,train,pg_advanced-relations_opposite_of_light_d199fe43d0
relation-comparative_of,train,pg_advanced-relations_comparative_of_light_5eed63b8c6
relation-antonym,train,pg_advanced-relations_opposite_of_loud_7e109f1314
relation-comparative_of,train,pg_advanced-relations_comparative_of_loud_2d9d0fe08a
relation-antonym,train,pg_advanced-relations_opposite_of_rich_654c802500
relation-comparative_of,train,pg_advanced-relations_comparative_of_rich_95bdefa13c
relation-antonym,train,pg_advanced-relations_opposite_of_clean_6929539016
relation-comparative_of,train,pg_advanced-relations_comparative_of_clean_5dc010b0a4
relation-antonym,train,pg_advanced-relations_opposite_of_young_878f15951b
relation-comparative_of,train,pg_advanced-relations_comparative_of_young_dae55f327b
relation-antonym,train,pg_advanced-relations_opposite_of_weak_a8b1e214fa
relation-comparative_of,train,pg_advanced-relations_comparative_of_weak_cd263eb428
relation-antonym,train,pg_advanced-relations_opposite_of_cold_feb7fbb0d0
relation-comparative_of,train,pg_advanced-relations_comparative_of_cold_f2981b24d7
relation-antonym,train,pg_advanced-relations_opposite_of_dark_44232654a9
relation-comparative_of,train,pg_advanced-relations_comparative_of_dark_95d308bef4
relation-antonym,train,pg_advanced-relations_opposite_of_small_258ce20c0c
relation-comparative_of,train,pg_advanced-relations_comparative_of_small_ba34112f9c
relation-antonym,train,pg_advanced-relations_opposite_of_slow_b71215f840
relation-comparative_of,train,pg_advanced-relations_comparative_of_slow_599f28c62c
relation-antonym,train,pg_advanced-relations_opposite_of_soft_577c9751ac
relation-comparative_of,train,pg_advanced-relations_comparative_of_soft_b64b0346c1
relation-antonym,train,pg_advanced-relations_opposite_of_cheap_eadc9e293c
relation-comparative_of,train,pg_advanced-relations_comparative_of_cheap_7392b26d1b
relation-antonym,train,pg_advanced-relations_opposite_of_deep_319bc63b47
relation-comparative_of,train,pg_advanced-relations_comparative_of_deep_f054ae54ab
relation-antonym,train,pg_advanced-relations_opposite_of_wide_a777b501a5
relation-comparative_of,train,pg_advanced-relations_comparative_of_wide_f8b265e6d8
relation-antonym,train,pg_advanced-relations_opposite_of_warm_78da6f93f3
relation-comparative_of,train,pg_advanced-relations_comparative_of_warm_6f93023ccd
relation-antonym,train,pg_advanced-relations_opposite_of_safe_9c47b18420
relation-comparative_of,train,pg_advanced-relations_comparative_of_safe_8e10072f40
relation-month_after,train,pg_advanced-relations_month_after_january_338f114884
relation-month_before,train,pg_advanced-relations_month_before_january_c53a826b3d
relation-month_after,train,pg_advanced-relations_month_after_february_e828dd069a
relation-month_before,train,pg_advanced-relations_month_before_february_222760daab
relation-month_after,train,pg_advanced-relations_month_after_march_37949df052
relation-month_before,train,pg_advanced-relations_month_before_march_9696b49692
relation-month_after,train,pg_advanced-relations_month_after_april_85b36da624
relation-month_before,train,pg_advanced-relations_month_before_april_f55d860265
relation-month_after,train,pg_advanced-relations_month_after_may_2001037661
relation-month_before,train,pg_advanced-relations_month_before_may_af2db4ebe3
relation-month_after,train,pg_advanced-relations_month_after_june_a928af5bcf
relation-month_before,train,pg_advanced-relations_month_before_june_e4778427f6
relation-month_after,train,pg_advanced-relations_month_after_july_3d223faf6b
relation-month_before,train,pg_advanced-relations_month_before_july_e7892e0efb
relation-month_after,train,pg_advanced-relations_month_after_august_41aca0d262
relation-month_before,train,pg_advanced-relations_month_before_august_c8c5562fa1
relation-month_after,train,pg_advanced-relations_month_after_september_e4bdbf7770
relation-month_before,train,pg_advanced-relations_month_before_september_5b861a8370
relation-month_after,train,pg_advanced-relations_month_after_october_a618e65c43
relation-month_before,train,pg_advanced-relations_month_before_october_954270f179
relation-month_after,train,pg_advanced-relations_month_after_november_00c25fcaac
relation-month_before,train,pg_advanced-relations_month_before_november_bddb980787
relation-month_after,train,pg_advanced-relations_month_after_december_fdb28032d6
relation-month_before,train,pg_advanced-relations_month_before_december_3018ddf136
relation-plural_of,train,pg_advanced-relations_plural_of_cat_e7311c7cf1
relation-plural_of,train,pg_advanced-relations_plural_of_dog_f06ff22eed
relation-plural_of,train,pg_advanced-relations_plural_of_book_dddf83ad60
relation-plural_of,train,pg_advanced-relations_plural_of_car_a8e389ff4e
relation-plural_of,train,pg_advanced-relations_plural_of_tree_9a10ed65cf
relation-plural_of,train,pg_advanced-relations_plural_of_house_e897ee690f
relation-plural_of,train,pg_advanced-relations_plural_of_child_7e05487ef3
relation-plural_of,train,pg_advanced-relations_plural_of_mouse_43dec72268
relation-plural_of,train,pg_advanced-relations_plural_of_foot_dfccdb8c1c
relation-plural_of,train,pg_advanced-relations_plural_of_tooth_0e60a36c45
relation-plural_of,train,pg_advanced-relations_plural_of_man_d3ddc1d7ef
relation-plural_of,train,pg_advanced-relations_plural_of_woman_c523b64c3c
relation-plural_of,train,pg_advanced-relations_plural_of_person_fa82b2d359
relation-plural_of,train,pg_advanced-relations_plural_of_city_72e8adc9de
relation-plural_of,train,pg_advanced-relations_plural_of_country_7ac576a398
relation-plural_of,train,pg_advanced-relations_plural_of_baby_76660f4fb4
relation-plural_of,train,pg_advanced-relations_plural_of_leaf_4bbeed0d91
relation-plural_of,train,pg_advanced-relations_plural_of_knife_afa22ee899
relation-plural_of,train,pg_advanced-relations_plural_of_wolf_997a150516
relation-plural_of,train,pg_advanced-relations_plural_of_box_74d99f2f24
relation-plural_of,train,pg_advanced-relations_plural_of_bus_2cad1ed07c
relation-plural_of,train,pg_advanced-relations_plural_of_story_3b585b8213
relation-plural_of,train,pg_advanced-relations_plural_of_party_0443ac7a6e
relation-plural_of,train,pg_advanced-relations_plural_of_family_2c8987be1e
relation-plural_of,train,pg_advanced-relations_plural_of_key_f045fcaefd
relation-object_color,train,pg_advanced-relations_color_of_grass_2f109c1b09
relation-object_color,train,pg_advanced-relations_color_of_snow_dc9f034ed2
relation-object_color,train,pg_advanced-relations_color_of_blood_4166bd4149
relation-object_color,train,pg_advanced-relations_color_of_milk_09dbee9420
relation-object_color,train,pg_advanced-relations_color_of_coal_07ee38f49f
relation-object_color,train,pg_advanced-relations_color_of_butter_b1470abd8d
relation-object_color,train,pg_advanced-relations_color_of_chocolate_1bd1183a73
relation-object_color,train,pg_advanced-relations_color_of_coffee_95373e8d86
relation-object_color,train,pg_advanced-relations_color_of_ivory_7f02f60918
relation-object_color,train,pg_advanced-relations_color_of_ruby_e16ec27f71
relation-object_color,train,pg_advanced-relations_color_of_mud_b7fcc87c56
relation-object_color,train,pg_advanced-relations_color_of_straw_93ab25311d
relation-object_color,train,pg_advanced-relations_color_of_wine_1b01bf599d
relation-object_color,train,pg_advanced-relations_color_of_mustard_32e23b571f
relation-material,train,pg_advanced-relations_material_of_window_8527f3cfd5
relation-material,train,pg_advanced-relations_material_of_bottle_c60bc4613b
relation-material,train,pg_advanced-relations_material_of_ring_62f4a1636e
relation-material,train,pg_advanced-relations_material_of_knife_e1108ff22a
relation-material,train,pg_advanced-relations_material_of_tire_402d18b3b2
relation-material,train,pg_advanced-relations_material_of_sweater_d5fbbc9990
relation-material,train,pg_advanced-relations_material_of_shirt_1942de054b
relation-material,train,pg_advanced-relations_material_of_barrel_1978e8d53c
relation-material,train,pg_advanced-relations_material_of_coin_9316e5b233
relation-material,train,pg_advanced-relations_material_of_brick_1810a5ad74
relation-material,train,pg_advanced-relations_material_of_candle_0e5c18e13a
relation-material,train,pg_advanced-relations_material_of_statue_dd82191fb1
relation-habitat,train,pg_advanced-relations_home_of_bird_683b3e4dab
relation-habitat,train,pg_advanced-relations_home_of_bee_d711d375f2
relation-habitat,train,pg_advanced-relations_home_of_lion_1a1fd41c6e
relation-habitat,train,pg_advanced-relations_home_of_spider_834fb6c8e8
relation-habitat,train,pg_advanced-relations_home_of_horse_272db94981
relation-habitat,train,pg_advanced-relations_home_of_pig_4e6915a982
relation-habitat,train,pg_advanced-relations_home_of_bat_fa6fa6f0a6
relation-habitat,train,pg_advanced-relations_home_of_frog_576e2fa4c7
relation-habitat,train,pg_advanced-relations_home_of_bear_2af317e61e
relation-habitat,train,pg_advanced-relations_home_of_eagle_4b66cd75ff
relation-country_language,train,pg_relation-probes_rel_country_language_france_20f70b1aba
relation-country_language,train,pg_relation-probes_rel_country_language_japan_28684cdca1
relation-country_language,train,pg_relation-probes_rel_country_language_germany_262693eed5
relation-country_language,train,pg_relation-probes_rel_country_language_italy_46ba318ae9
relation-country_language,train,pg_relation-probes_rel_country_language_spain_82236b0aaa
relation-country_language,train,pg_relation-probes_rel_country_language_russia_97990b77c0
relation-country_language,train,pg_relation-probes_rel_country_language_egypt_5a70800677
relation-country_language,train,pg_relation-probes_rel_country_language_brazil_f4add853e3
relation-country_language,train,pg_relation-probes_rel_country_language_greece_cca5464170
relation-country_language,train,pg_relation-probes_rel_country_language_korea_253e7eecd0
relation-antonym,train,pg_relation-probes_rel_antonym_up_cd9b870b40
relation-antonym,train,pg_relation-probes_rel_antonym_wet_48f00e0734
relation-object_color,train,pg_relation-probes_rel_object_color_sky_8738c1255d
relation-object_color,train,pg_relation-probes_rel_object_color_grass_3a65a3baf6
relation-object_color,train,pg_relation-probes_rel_object_color_snow_018bfeb6f8
relation-object_color,train,pg_relation-probes_rel_object_color_banana_74ee13dd4d
relation-object_color,train,pg_relation-probes_rel_object_color_milk_dbcd52983b
relation-object_color,train,pg_relation-probes_rel_object_color_night_89c27e1366
relation-category_member,train,pg_relation-probes_rel_category_member_salmon_5a121f50c7
relation-category_member,train,pg_relation-probes_rel_category_member_oak_0fc6e4fed8
relation-category_member,train,pg_relation-probes_rel_category_member_rose_963a56af69
relation-category_member,train,pg_relation-probes_rel_category_member_beagle_b87c2adae6
relation-category_member,train,pg_relation-probes_rel_category_member_sparrow_78db6935a2
relation-category_member,train,pg_relation-probes_rel_category_member_copper_7ab415f040
relation-category_member,train,pg_relation-probes_rel_category_member_carrot_ea56bd5405
relation-category_member,train,pg_relation-probes_rel_category_member_cobra_1730bbd63d
relation-category_member,train,pg_relation-probes_rel_category_member_apple_67221c4511
relation-category_member,train,pg_relation-probes_rel_category_member_wasp_1c392d3861
relation-counting,train,pg_relation-probes_rel_counting_two_plus_two_da54159f31
relation-counting,train,pg_relation-probes_rel_counting_week_days_6a11493b18
relation-counting,train,pg_relation-probes_rel_counting_spider_legs_06c93fcc10
relation-counting,train,pg_relation-probes_rel_counting_triangle_721d4fcba8
relation-counting,train,pg_relation-probes_rel_counting_insect_legs_d9371cade6
relation-counting,train,pg_relation-probes_rel_counting_five_plus_five_722bde67de
relation-counting,train,pg_relation-probes_rel_counting_dozen_half_1819162d08
relation-counting,train,pg_relation-probes_rel_counting_year_months_5f33211b5f
relation-body,test_id,pg_relation-probes_rel_body_heart_43ca50e983
relation-body,test_id,pg_relation-probes_rel_body_ears_2588f2aaa4
relation-body,test_id,pg_relation-probes_rel_body_eyes_5af449f661
relation-body,test_id,pg_relation-probes_rel_body_nose_cfd331b9b5
relation-body,test_id,pg_relation-probes_rel_body_stomach_1af5e58c86
relation-body,test_id,pg_relation-probes_rel_body_brain_f278a0f0cc
relation-body,test_id,pg_relation-probes_rel_body_bones_78ac549d39
relation-body,test_id,pg_relation-probes_rel_body_tongue_de245969fd
relation-profession_tool,train,pg_relation-probes_rel_profession_tool_carpenter_1247f3cf3c
relation-profession_tool,train,pg_relation-probes_rel_profession_tool_painter_8f4bbad1f4
relation-profession_tool,train,pg_relation-probes_rel_profession_tool_chef_3ebf9e3686
relation-profession_tool,train,pg_relation-probes_rel_profession_tool_tailor_ac25bffe59
relation-profession_tool,train,pg_relation-probes_rel_profession_tool_plumber_ca23339437
relation-profession_tool,train,pg_relation-probes_rel_profession_tool_writer_9371316166
relation-profession_tool,train,pg_relation-probes_rel_profession_tool_gardener_f719ba9274
relation-sequence,train,pg_relation-probes_rel_sequence_monday_d5e5534578
relation-sequence,train,pg_relation-probes_rel_sequence_tuesday_1610222880
relation-sequence,train,pg_relation-probes_rel_sequence_thursday_615806ee5b
relation-sequence,train,pg_relation-probes_rel_sequence_winter_6fa172c238
relation-sequence,train,pg_relation-probes_rel_sequence_summer_e4c4140f24
relation-sequence,train,pg_relation-probes_rel_sequence_friday_26d28a9c31
relation-material,train,pg_relation-probes_rel_material_paper_f0e7e3745d
relation-material,train,pg_relation-probes_rel_material_wine_7940d1ba1d
relation-material,train,pg_relation-probes_rel_material_cheese_b875af404e
relation-material,train,pg_relation-probes_rel_material_glass_755f27c748
relation-material,train,pg_relation-probes_rel_material_sweater_3305c40136
relation-material,train,pg_relation-probes_rel_material_tshirt_7c17cca80e
relation-material,train,pg_relation-probes_rel_material_bricks_fe5da069ec
relation-material,train,pg_relation-probes_rel_material_shoes_2534776e3d
relation-material,train,pg_relation-probes_rel_material_tires_e2c6f3010d
relation-habitat,train,pg_relation-probes_rel_habitat_camel_cd9522c11e
relation-habitat,train,pg_relation-probes_rel_habitat_whale_05b4bf7ecd
relation-habitat,train,pg_relation-probes_rel_habitat_penguin_e88edd312a
relation-habitat,train,pg_relation-probes_rel_habitat_monkey_af2ff3b8db
relation-habitat,train,pg_relation-probes_rel_habitat_owl_840841b558
relation-habitat,train,pg_relation-probes_rel_habitat_bat_36429726a9
relation-habitat,train,pg_relation-probes_rel_habitat_bee_1637d006af
relation-habitat,train,pg_relation-probes_rel_habitat_bird_e51adfff78
relation-habitat,train,pg_relation-probes_rel_habitat_frog_a4c7394bae
relation-emotion_outcome,train,pg_relation-probes_rel_emotion_outcome_prize_899ae9a9f6
relation-emotion_outcome,train,pg_relation-probes_rel_emotion_outcome_pet_45221ea94b
relation-emotion_outcome,train,pg_relation-probes_rel_emotion_outcome_cheated_96ad1b48b1
relation-emotion_outcome,train,pg_relation-probes_rel_emotion_outcome_dark_9349917778
relation-emotion_outcome,train,pg_relation-probes_rel_emotion_outcome_marathon_5f274ec71d
relation-emotion_outcome,train,pg_relation-probes_rel_emotion_outcome_new_city_e4cdb46377
relation-emotion_outcome,train,pg_relation-probes_rel_emotion_outcome_queue_20369b9071
relation-emotion_outcome,train,pg_relation-probes_rel_emotion_outcome_speech_40d44fddef
relation-emotion_outcome,train,pg_relation-probes_rel_emotion_outcome_birthday_74e263f39a
relation-emotion_outcome,train,pg_relation-probes_rel_emotion_outcome_canceled_fe88b122e8
