prompt_variant_id,evaluation_only,in_train
pv_ffea3b801adfc4345b3d0a27,true,false
pv_308b0c9bf6fc8fb747d57625,true,false
pv_91c289097bce90bbe3428433,true,false
pv_9afde570753464c70ede243e,true,false
pv_9899ac3a90f649f1188a0ca4,true,false
pv_4c9f3acbd8b9d2c1d2d5df68,true,false
pv_ae61d141036504f95fd2ade0,true,false
pv_6733eb5691b46d81af50e0c5,true,false
pv_ec518215687440aa13340fcf,true,false
pv_b8f37473e6ebcea4f1066232,true,false
pv_61e9d3522233c7f93c81e5cb,true,false
pv_112d147cefe9069b8d1bb0d1,true,false
pv_3a30e5139cf8d11fdea88574,true,false
pv_7daaaf1cebdf8db950d5f7df,true,false
pv_cb901cdbeb7637900e321f2a,true,false
pv_b0e24d7b81e3fa47028f8f4b,true,false
pv_f62e512f4a6ec611b1f4b5c3,true,false
pv_2bc6739a78a870f369c6b335,true,false
pv_fc46bc59b71e3df2cfb2ea4a,true,false
pv_b02d329474342ea60750c6d2,true,false
pv_7e5917dae687c2e0fa547300,true,false
pv_021f98eecbf16de5ea0cafa4,true,false
pv_1517fa69eb17d4ca689836f3,true,false
pv_8f7db6e4d54d0bb5972c378b,true,false
pv_eccf44f74269fc7a5b0f1302,true,false
pv_32d805c669d60dce0cd7c11f,true,false
pv_0d9d3584549fd338d3818e29,true,false
pv_e8c71b375e2f71bae587ba7e,true,false
pv_103f7a31287bdbf720831bc4,true,false
pv_98d367fe4fc8c5c89bd3c67c,true,false
pv_807808cc57057ee811df772b,true,false
pv_7f5a059b98244afef37f40b2,true,false
pv_0c05b48f7385f6e44fe1846d,true,false
pv_71ebb612efb1d52cee66e6e2,true,false
pv_d36750bc07760603d02df8df,true,false
pv_c9726de00b69baa35d3b9e78,true,false
pv_ddf8c8ae295d337824a87474,true,false
pv_2171e0c2ab8107aba9b7912c,true,false
pv_845397677b8596e67b91706b,true,false
pv_a2381e0cc17f6119b0525809,true,false
pv_d900e87a0e71bf2588feac92,true,false
pv_be3fba0c318e635486792078,true,false
pv_dccabb854deb3dc07d457f7e,true,false
pv_8bd9f2470eb47de0c6424371,true,false
pv_b33d5c63c5ab62efaf4309c1,true,false
pv_c169154727706d32b44e67a4,true,false
pv_fb7caaf88b2e2388a5fb59e2,true,false
pv_e47afe64e02d052fb90ccc39,true,false
pv_5a46fd152474ca3a8e5e7bd4,true,false
pv_17ea588de5f4f6cb7005df6f,true,false
pv_e4f5485807ad907428ebdfa9,true,false
pv_6dbf3fbb56e61a0ce55d615d,true,false
pv_ce5576a1d7a46649aafdf0ef,true,false
pv_cf9f8d6ecc4e150267243aa2,true,false
pv_ea7764d646bcb66de998be0e,true,false
pv_32dee2026e674fc2beae75a5,true,false
pv_18af795c252e2be0714e8fe6,true,false
pv_9d8f29795674bcd6503f454e,true,false
pv_5e779d93b195f84cc99bc2d2,true,false
pv_d2d11f02246e9c597e2ae7a5,true,false
pv_b44db39b3f22e95fd4e52e25,true,false
pv_c9f26f1fb9fa4327e2d7f066,true,false
pv_f02cc99be305ca40810bfefd,true,false
pv_4ff451602caeb62904f24da9,true,false
pv_d2f0cb610ac39a01cdbd276d,true,false
pv_05b4f55ca9adc721582e4d54,true,false
pv_0d27155dfa0c9752d5ec109b,true,false
pv_4396d55d51a710015b6fabf6,true,false
pv_b4126049c10cc6571eb5d130,true,false
pv_26bb970f938a0b5a93ca06d1,true,false
pv_5a65e20020f153853d7be009,true,false
pv_b0e9973d56c40752e39a091e,true,false
pv_3bf7ad7859538eb225b61f96,true,false
pv_2cc49d0d87b184e55e6788a8,true,false
pv_c0b9dc28c3236a3c8c64b850,true,false
pv_571693c19151832cbad10cb6,true,false
pv_591c4dd0b8b57de81a4e489f,true,false
pv_8405b05d54de83e5feb91aa4,true,false
pv_f6f41ce6ba45f1d47c72ae26,true,false
pv_71def6c521ec5e4644c95bd6,true,false
pv_3f65129adc3827630b779eec,true,false
pv_93ec855a4f1007055d1c3019,true,false
pv_b8321e705577447749f71832,true,false
pv_5ed9c4edb2c6ba83c3b67cce,true,false
pv_cf96d73232035adf236194a0,true,false
